observed_on,quality_grade,latitude,longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
2012-06-07,research,46.72942095,-117.16980545,false,Black-billed Magpie,Pica hudsonia,Black-billed Magpie,Aves,143853,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,,,Pica,,Pica hudsonia,,,,
2012-08-13,research,46.6698107638,-117.4389901683,false,Gray Hairstreak,Strymon melinus,Gray Hairstreak,Insecta,50931,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,,Eumaeini,Eumaeina,Strymon,,Strymon melinus,,,,
2012-08-13,research,46.6695828325,-117.4395132065,false,Great Mullein,Verbascum thapsus,great mullein,Plantae,59029,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,,,,Verbascum,,Verbascum thapsus,,,,
2007-08-31,research,47.032392,-117.297127,false,Rock Wren,Salpinctes obsoletus,Rock Wren,Aves,7486,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Troglodytidae,,,,,Salpinctes,,Salpinctes obsoletus,,,,
2012-03-10,research,46.731154,-117.148876,false,Black-billed Magpie,Pica hudsonia,Black-billed Magpie,Aves,143853,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,,,Pica,,Pica hudsonia,,,,
2014-03-01,casual,46.707313,-117.216204,false,Red-winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,Aves,9744,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,Agelaius,,Agelaius phoeniceus,,,,
2014-03-01,casual,46.707311,-117.216202,false,Red-breasted Nuthatch,Sitta canadensis,Red-breasted Nuthatch,Aves,14823,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sittidae,,,,,Sitta,,Sitta canadensis,,,,
2014-03-01,casual,46.707312,-117.216203,false,Eurasian Collared Dove,Streptopelia decaocto,Eurasian Collared Dove,Aves,2969,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Streptopelia,,Streptopelia decaocto,,,,
2014-03-01,casual,46.707312,-117.216204,false,California Quail,Callipepla californica,California Quail,Aves,1409,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Odontophoridae,,,,,Callipepla,,Callipepla californica,,,,
2014-03-01,casual,46.7073134961,-117.2162053929,false,House Sparrow,Passer domesticus,House Sparrow,Aves,13858,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passeridae,,,,,Passer,,Passer domesticus,,,,
